File Name,Corresponding Data Point,Maximum Subtraction,,,COV
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_02_03 PM].csv",1.025,0.0018089,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_02_09 PM].csv",1.15,0.00127674,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_02_16 PM].csv",0.975,0.0016229,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_04_28 PM].csv",1.225,0.0003594,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_04_35 PM].csv",0.975,0.00147376,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_04_41 PM].csv",1.125,0.00137394,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_04_47 PM].csv",0.975,0.00147106,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_04_53 PM].csv",1.125,0.00137838,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_00 PM].csv",1.125,0.00136986,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_06 PM].csv",1.15,0.00136972,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_12 PM].csv",1.175,0.00134882,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_18 PM].csv",1.025,0.0014715,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_24 PM].csv",1,0.00149662,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_31 PM].csv",0.95,0.00133822,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_38 PM].csv",1.1,0.00129964,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_44 PM].csv",0.95,0.00142758,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_51 PM].csv",0.9,0.00142564,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_05_57 PM].csv",1.025,0.00128686,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_06_04 PM].csv",1.025,0.00134868,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_06_11 PM].csv",0.975,0.00109214,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_06_17 PM].csv",0.925,0.00073732,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_06_23 PM].csv",0.95,0.00055608,,,
"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_06_30 PM].csv",1.025,0.0004852,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_23 PM].csv",1.3,0.001986876,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_29 PM].csv",0.85,0.001958576,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_35 PM].csv",0.8,0.001927634,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_41 PM].csv",0.85,0.001957614,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_48 PM].csv",0.825,0.00195317,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_54 PM].csv",0.825,0.001965186,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_00 PM].csv",0.9,0.001957198,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_07 PM].csv",0.825,0.001970046,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_13 PM].csv",0.8,0.001976374,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_20 PM].csv",0.85,0.001945472,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_25 PM].csv",0.775,0.001912228,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_32 PM].csv",0.8,0.001462894,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_38 PM].csv",0.85,0.001731346,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_44 PM].csv",0.725,0.001318978,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_50 PM].csv",0.775,0.00146845,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_11_57 PM].csv",0.8,0.001674428,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_03 PM].csv",0.8,0.001971022,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_10 PM].csv",0.8,0.001772114,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_17 PM].csv",0.775,0.001739122,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_23 PM].csv",0.825,0.00197182,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_29 PM].csv",0.875,0.001962842,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_35 PM].csv",0.825,0.001969124,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_42 PM].csv",0.9,0.001979716,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_48 PM].csv",0.825,0.001969642,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_12_55 PM].csv",0.825,0.001967656,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_01 PM].csv",0.8,0.00197171,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_08 PM].csv",0.85,0.00195883,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_15 PM].csv",0.8,0.001969738,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_21 PM].csv",0.85,0.001970154,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_27 PM].csv",0.875,0.00197457,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_33 PM].csv",0.825,0.001972162,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_39 PM].csv",0.825,0.001972186,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_45 PM].csv",0.775,0.001931464,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_51 PM].csv",0.95,0.001976154,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_13_58 PM].csv",0.8,0.001970666,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_04 PM].csv",0.8,0.001962442,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_11 PM].csv",0.825,0.001977376,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_17 PM].csv",0.925,0.00196903,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_23 PM].csv",0.825,0.001980258,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_29 PM].csv",0.875,0.001973828,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_36 PM].csv",0.8,0.001977756,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_42 PM].csv",0.85,0.001974536,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_48 PM].csv",0.85,0.001975806,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_14_55 PM].csv",0.825,0.00197726,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_01 PM].csv",0.85,0.001977836,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_07 PM].csv",0.875,0.001975442,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_13 PM].csv",0.85,0.001972252,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_20 PM].csv",0.775,0.001791388,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_26 PM].csv",0.85,0.001975858,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_32 PM].csv",0.9,0.001969112,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_39 PM].csv",0.825,0.001962208,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_45 PM].csv",0.85,0.001975328,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_51 PM].csv",0.825,0.0019268,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_15_57 PM].csv",0.85,0.001966446,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_04 PM].csv",0.85,0.001980498,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_10 PM].csv",0.75,0.001673512,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_16 PM].csv",0.825,0.001978174,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_23 PM].csv",0.925,0.001955402,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_30 PM].csv",0.725,0.001483336,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_36 PM].csv",0.85,0.001971006,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_43 PM].csv",0.925,0.001973666,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_49 PM].csv",0.825,0.001901226,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_16_56 PM].csv",0.675,0.001295562,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_02 PM].csv",0.8,0.001967428,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_08 PM].csv",0.775,0.001964804,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_14 PM].csv",0.8,0.001320792,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_20 PM].csv",0.8,0.00193382,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_27 PM].csv",0.8,0.001955412,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_33 PM].csv",0.775,0.00195781,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_40 PM].csv",0.775,0.00170225,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_46 PM].csv",0.75,0.00119258,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_53 PM].csv",0.825,0.001963226,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_17_59 PM].csv",0.85,0.001969322,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_05 PM].csv",0.775,0.001712314,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_11 PM].csv",0.9,0.001965414,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_17 PM].csv",0.775,0.00197093,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_24 PM].csv",0.75,0.001885772,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_30 PM].csv",0.75,0.001897838,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_37 PM].csv",0.85,0.001973452,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_43 PM].csv",0.85,0.001977458,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_50 PM].csv",0.85,0.001945832,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_18_56 PM].csv",0.825,0.001972922,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_02 PM].csv",0.85,0.001971078,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_09 PM].csv",0.8,0.00179883,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_15 PM].csv",0.675,0.00140767,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_22 PM].csv",0.7,0.001401838,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_28 PM].csv",0.7,0.00142604,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_34 PM].csv",0.85,0.001957602,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_40 PM].csv",0.775,0.001725538,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_47 PM].csv",0.775,0.001693658,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_19_53 PM].csv",0.825,0.001973186,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_00 PM].csv",0.85,0.001965564,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_06 PM].csv",0.825,0.00193886,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_12 PM].csv",0.9,0.00195711,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_18 PM].csv",0.775,0.001741962,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_24 PM].csv",0.75,0.00175955,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_30 PM].csv",0.7,0.001411238,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_37 PM].csv",0.825,0.001968974,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_43 PM].csv",0.825,0.001963892,,,
"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_50 PM].csv",0.775,0.001948832,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_24_19 PM].csv",0.325,0.000114,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_24_46 PM].csv",1.15,0.0017487,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_02 PM].csv",0.875,0.00130292,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_09 PM].csv",0.8,0.00073088,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_15 PM].csv",1.25,0.0006944,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_21 PM].csv",1.2,0.0010692,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_27 PM].csv",1.15,0.001021,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_33 PM].csv",1.075,0.0008672,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_26_40 PM].csv",1.15,0.0009296,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_27_45 PM].csv",1.175,0.0018118,,,
"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_29_00 PM].csv",1.1,0.00239778,,,
"[C3-1-4um-02,SET-RESET,2,7_19_2024 1_27_53 PM].csv",1.775,0.0021412,,,
"[C3-1-4um-02,SET-RESET,2,7_19_2024 1_29_15 PM].csv",1.3,0.00339184,,,
"[C3-1-4um-02,SET-RESET,3,7_19_2024 1_28_01 PM].csv",1.375,0.00380972,,,
"[C3-1-4um-02,SET-RESET,3,7_19_2024 1_29_22 PM].csv",1.525,0.0034578,,,
"[C3-1-4um-02,SET-RESET,4,7_19_2024 1_28_12 PM].csv",2.125,0.0009886,,,
"[C3-1-4um-02,SET-RESET,4,7_19_2024 1_29_29 PM].csv",0.325,0.0001028,,,
"[C3-1-4um-02,SET-RESET,5,7_19_2024 1_28_21 PM].csv",1.35,0.00250224,,,
"[C3-1-4um-03,SET-RESET,1,7_19_2024 1_31_23 PM].csv",1.05,0.00220978,,,
"[C3-1-4um-03,SET-RESET,1,7_19_2024 1_32_23 PM].csv",1.45,0.0021048,,,
"[C3-1-4um-03,SET-RESET,1,7_19_2024 1_33_42 PM].csv",1.475,0.0013182,,,
"[C3-1-4um-03,SET-RESET,1,7_19_2024 1_36_23 PM].csv",0.725,0.00140094,,,
"[C3-1-4um-03,SET-RESET,2,7_19_2024 1_32_31 PM].csv",0.975,0.00146178,,,
"[C3-1-4um-03,SET-RESET,2,7_19_2024 1_33_50 PM].csv",1.275,0.00132846,,,
"[C3-1-4um-03,SET-RESET,2,7_19_2024 1_36_31 PM].csv",0.9,0.0018831,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_33_57 PM].csv",1.3,0.00132132,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_36_51 PM].csv",0.85,0.00160822,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_36_58 PM].csv",0.925,0.00197228,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_04 PM].csv",0.825,0.00075988,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_10 PM].csv",0.85,0.000883,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_16 PM].csv",0.75,0.0006402,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_22 PM].csv",0.75,0.0013296,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_28 PM].csv",0.85,0.00164188,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_34 PM].csv",0.825,0.001546,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_40 PM].csv",0.625,0.00073928,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_46 PM].csv",0.65,0.00063886,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_53 PM].csv",0.85,0.00160066,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_37_58 PM].csv",0.7,0.000287,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_04 PM].csv",1,0.00235326,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_10 PM].csv",0.8,0.00164704,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_17 PM].csv",0.875,0.00188618,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_23 PM].csv",0.875,0.00184556,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_29 PM].csv",0.85,0.00166708,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_36 PM].csv",0.85,0.00163992,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_43 PM].csv",0.825,0.00183686,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_49 PM].csv",1,0.0024303,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_38_55 PM].csv",0.875,0.00207904,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_01 PM].csv",0.85,0.00201986,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_07 PM].csv",0.825,0.00192186,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_14 PM].csv",0.8,0.0016743,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_20 PM].csv",0.575,0.00024166,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_26 PM].csv",0.85,0.00186994,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_33 PM].csv",0.775,0.00149346,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_39 PM].csv",0.825,0.00178644,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_45 PM].csv",0.575,0.00047684,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_51 PM].csv",0.875,0.00191348,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_39_57 PM].csv",0.775,0.00084592,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_03 PM].csv",0.6,0.0002937,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_09 PM].csv",0.75,0.0015881,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_15 PM].csv",0.95,0.001189,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_21 PM].csv",0.875,0.00190294,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_28 PM].csv",0.925,0.00227356,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_34 PM].csv",0.775,0.00099594,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_41 PM].csv",0.775,0.00127078,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_47 PM].csv",0.75,0.00166578,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_53 PM].csv",0.65,0.00070266,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_40_59 PM].csv",0.875,0.00213306,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_05 PM].csv",0.85,0.00199712,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_12 PM].csv",0.7,0.00083856,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_18 PM].csv",0.925,0.0022899,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_24 PM].csv",0.775,0.00154988,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_31 PM].csv",0.775,0.00155252,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_36 PM].csv",0.9,0.0022563,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_43 PM].csv",0.9,0.00237312,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_49 PM].csv",0.9,0.00221638,,,
"[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_55 PM].csv",0.65,0.00072716,,,
"[C3-1-4um-03,SET-RESET,4,7_19_2024 1_34_26 PM].csv",1.3,0.00102966,,,
"[C3-1-4um-03,SET-RESET,5,7_19_2024 1_34_33 PM].csv",1.425,0.00119004,,,
"[C3-1-4um-03,SET-RESET,6,7_19_2024 1_34_40 PM].csv",1.3,0.0014652,,,
"[C3-1-4um-03,SET-RESET,7,7_19_2024 1_34_47 PM].csv",0.95,0.00195944,,,
"[C3-1-4um-03,SET-RESET,8,7_19_2024 1_34_56 PM].csv",0.85,0.0018289,,,
"[C3-1-4um-04,SET-RESET,1,7_19_2024 1_46_14 PM].csv",1.05,0.00151946,,,
"[C3-1-4um-04,SET-RESET,1,7_19_2024 1_47_16 PM].csv",1.075,0.00152896,,,
"[C3-1-4um-04,SET-RESET,10,7_19_2024 1_48_11 PM].csv",1.025,0.00151044,,,
"[C3-1-4um-04,SET-RESET,100,7_19_2024 1_57_34 PM].csv",1.05,0.0012129,,,
"[C3-1-4um-04,SET-RESET,11,7_19_2024 1_48_18 PM].csv",1.075,0.00127732,,,
"[C3-1-4um-04,SET-RESET,12,7_19_2024 1_48_24 PM].csv",1.125,0.00132622,,,
"[C3-1-4um-04,SET-RESET,13,7_19_2024 1_48_30 PM].csv",0.725,0.0007902,,,
"[C3-1-4um-04,SET-RESET,14,7_19_2024 1_48_37 PM].csv",1.125,0.00144334,,,
"[C3-1-4um-04,SET-RESET,15,7_19_2024 1_48_44 PM].csv",0.9,0.00156476,,,
"[C3-1-4um-04,SET-RESET,16,7_19_2024 1_48_50 PM].csv",0.95,0.0006143,,,
"[C3-1-4um-04,SET-RESET,17,7_19_2024 1_48_56 PM].csv",1,0.00078562,,,
"[C3-1-4um-04,SET-RESET,18,7_19_2024 1_49_02 PM].csv",0.95,0.0010549,,,
"[C3-1-4um-04,SET-RESET,19,7_19_2024 1_49_09 PM].csv",0.925,0.00144332,,,
"[C3-1-4um-04,SET-RESET,2,7_19_2024 1_47_22 PM].csv",1.05,0.00153508,,,
"[C3-1-4um-04,SET-RESET,20,7_19_2024 1_49_15 PM].csv",1.05,0.00143698,,,
"[C3-1-4um-04,SET-RESET,21,7_19_2024 1_49_21 PM].csv",0.95,0.00143036,,,
"[C3-1-4um-04,SET-RESET,22,7_19_2024 1_49_27 PM].csv",0.925,0.00151442,,,
"[C3-1-4um-04,SET-RESET,23,7_19_2024 1_49_33 PM].csv",1.025,0.00145544,,,
"[C3-1-4um-04,SET-RESET,24,7_19_2024 1_49_39 PM].csv",1.05,0.00145558,,,
"[C3-1-4um-04,SET-RESET,25,7_19_2024 1_49_46 PM].csv",1.025,0.00142852,,,
"[C3-1-4um-04,SET-RESET,26,7_19_2024 1_49_52 PM].csv",1,0.00139508,,,
"[C3-1-4um-04,SET-RESET,27,7_19_2024 1_49_58 PM].csv",1,0.00147562,,,
"[C3-1-4um-04,SET-RESET,28,7_19_2024 1_50_04 PM].csv",1.025,0.0012737,,,
"[C3-1-4um-04,SET-RESET,29,7_19_2024 1_50_10 PM].csv",1.025,0.00103158,,,
"[C3-1-4um-04,SET-RESET,3,7_19_2024 1_47_29 PM].csv",0.975,0.0016029,,,
"[C3-1-4um-04,SET-RESET,30,7_19_2024 1_50_16 PM].csv",1.1,0.00131104,,,
"[C3-1-4um-04,SET-RESET,31,7_19_2024 1_50_22 PM].csv",0.975,0.00079974,,,
"[C3-1-4um-04,SET-RESET,32,7_19_2024 1_50_29 PM].csv",0.975,0.00145088,,,
"[C3-1-4um-04,SET-RESET,33,7_19_2024 1_50_35 PM].csv",1,0.00144778,,,
"[C3-1-4um-04,SET-RESET,34,7_19_2024 1_50_41 PM].csv",0.95,0.00074516,,,
"[C3-1-4um-04,SET-RESET,35,7_19_2024 1_50_47 PM].csv",1,0.00088296,,,
"[C3-1-4um-04,SET-RESET,36,7_19_2024 1_50_54 PM].csv",1.1,0.0013213,,,
"[C3-1-4um-04,SET-RESET,37,7_19_2024 1_51_00 PM].csv",0.925,0.000111,,,
"[C3-1-4um-04,SET-RESET,38,7_19_2024 1_51_06 PM].csv",0.85,0.00101248,,,
"[C3-1-4um-04,SET-RESET,39,7_19_2024 1_51_13 PM].csv",0.775,0.00045314,,,
"[C3-1-4um-04,SET-RESET,4,7_19_2024 1_47_35 PM].csv",1.1,0.0015121,,,
"[C3-1-4um-04,SET-RESET,40,7_19_2024 1_51_19 PM].csv",1.05,0.0005748,,,
"[C3-1-4um-04,SET-RESET,41,7_19_2024 1_51_26 PM].csv",0.975,0.00060382,,,
"[C3-1-4um-04,SET-RESET,42,7_19_2024 1_51_32 PM].csv",1.125,0.0003504,,,
"[C3-1-4um-04,SET-RESET,43,7_19_2024 1_51_38 PM].csv",1.025,0.00044976,,,
"[C3-1-4um-04,SET-RESET,44,7_19_2024 1_51_44 PM].csv",1.3,0.0004152,,,
"[C3-1-4um-04,SET-RESET,45,7_19_2024 1_51_51 PM].csv",1.175,0.00106496,,,
"[C3-1-4um-04,SET-RESET,46,7_19_2024 1_51_57 PM].csv",1.15,0.0002704,,,
"[C3-1-4um-04,SET-RESET,47,7_19_2024 1_52_03 PM].csv",1.25,0.0008515,,,
"[C3-1-4um-04,SET-RESET,48,7_19_2024 1_52_09 PM].csv",1.125,0.00103408,,,
"[C3-1-4um-04,SET-RESET,49,7_19_2024 1_52_15 PM].csv",1.225,0.0009009,,,
"[C3-1-4um-04,SET-RESET,5,7_19_2024 1_47_41 PM].csv",0.925,0.0016073,,,
"[C3-1-4um-04,SET-RESET,50,7_19_2024 1_52_22 PM].csv",1.3,0.0007738,,,
"[C3-1-4um-04,SET-RESET,51,7_19_2024 1_52_29 PM].csv",1.175,0.00073958,,,
"[C3-1-4um-04,SET-RESET,52,7_19_2024 1_52_36 PM].csv",1.2,0.00093276,,,
"[C3-1-4um-04,SET-RESET,53,7_19_2024 1_52_42 PM].csv",0.925,0.00110454,,,
"[C3-1-4um-04,SET-RESET,54,7_19_2024 1_52_48 PM].csv",0.95,0.0011013,,,
"[C3-1-4um-04,SET-RESET,55,7_19_2024 1_52_54 PM].csv",1.15,0.00109796,,,
"[C3-1-4um-04,SET-RESET,56,7_19_2024 1_53_00 PM].csv",1.125,0.00111234,,,
"[C3-1-4um-04,SET-RESET,57,7_19_2024 1_53_07 PM].csv",0.8,0.00081572,,,
"[C3-1-4um-04,SET-RESET,58,7_19_2024 1_53_13 PM].csv",0.925,0.00099752,,,
"[C3-1-4um-04,SET-RESET,59,7_19_2024 1_53_19 PM].csv",0.75,0.00043184,,,
"[C3-1-4um-04,SET-RESET,6,7_19_2024 1_47_47 PM].csv",1.1,0.00148762,,,
"[C3-1-4um-04,SET-RESET,60,7_19_2024 1_53_25 PM].csv",0.775,0.00111486,,,
"[C3-1-4um-04,SET-RESET,61,7_19_2024 1_53_32 PM].csv",1,0.0012453,,,
